Order Date,Product,Category,Region,Quantity,Sales,Profit
2026-01-03,Laptop,Electronics,North,2,120000,18000
2026-01-05,Mouse,Accessories,South,10,15000,5000
2026-01-08,Keyboard,Accessories,East,8,24000,7200
2026-01-12,Monitor,Electronics,West,3,45000,9000
2026-01-18,Headphones,Accessories,North,6,18000,7200
2026-01-24,Laptop,Electronics,South,1,60000,9000
2026-02-02,Keyboard,Accessories,West,12,36000,10800
2026-02-07,Monitor,Electronics,East,4,60000,12000
2026-02-11,Mouse,Accessories,North,15,22500,7500
2026-02-19,Laptop,Electronics,West,2,120000,18000
2026-02-25,Headphones,Accessories,South,9,27000,10800
2026-03-04,Monitor,Electronics,North,5,75000,15000
2026-03-09,Mouse,Accessories,East,18,27000,9000
2026-03-15,Laptop,Electronics,East,2,120000,18000
2026-03-21,Keyboard,Accessories,South,10,30000,9000
2026-03-28,Headphones,Accessories,West,12,36000,14400
2026-04-03,Laptop,Electronics,North,3,180000,27000
2026-04-10,Monitor,Electronics,South,6,90000,18000
2026-04-16,Mouse,Accessories,West,20,30000,10000
2026-04-23,Keyboard,Accessories,East,14,42000,12600
2026-04-29,Headphones,Accessories,North,10,30000,12000
2026-05-05,Monitor,Electronics,West,5,75000,15000
2026-05-11,Laptop,Electronics,South,2,120000,18000
2026-05-17,Mouse,Accessories,East,16,24000,8000
2026-05-22,Keyboard,Accessories,North,15,45000,13500
2026-05-29,Headphones,Accessories,South,14,42000,16800
2026-06-04,Laptop,Electronics,West,3,180000,27000
2026-06-10,Monitor,Electronics,East,7,105000,21000
2026-06-18,Mouse,Accessories,North,22,33000,11000
2026-06-25,Keyboard,Accessories,South,16,48000,14400
